| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BaseKeyedPooledObjectFactory.java:31:23:31:50               | BaseKeyedPooledObjectFactory                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BaseKeyedPooledObjectFactory.java:31:23:31:50               | BaseObject                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/BaseObject.java:24:23:24:32                                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1007:45:1007:84                              | <obinit>                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1003:32:1003:62                              | writeLock                                   | file:///modules/java.base/java/util/concurrent/locks/ReentrantReadWriteLock.class:0:0:0:0                                                                                                    |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1007:45:1007:72                              | <obinit>                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1003:32:1003:62                              | ReentrantReadWriteLock                      | file:///modules/java.base/java/util/concurrent/locks/ReentrantReadWriteLock.class:0:0:0:0                                                                                                    |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1018:9:1018:39                               | SynchronizedPooledObjectFactory             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1018:9:1018:39                               | Object                                      | file:///modules/java.base/java/lang/Object.class:0:0:0:0                                                                                                                                     |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1018:9:1018:39                               | SynchronizedPooledObjectFactory             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1018:9:1018:39                               | <obinit>                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1003:32:1003:62                                |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1021:23:1021:79                              | SynchronizedPooledObjectFactory             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1018:9:1018:39                               | IllegalArgumentException                    | file:///modules/java.base/java/lang/IllegalArgumentException.class:0:0:0:0                                                                                                                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1029:13:1029:28                              | activateObject                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1028:21:1028:34                              | lock                                        | file:///modules/java.base/java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock.class:0:0:0:0                                                                                          |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1031:17:1031:41                              | activateObject                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1028:21:1028:34                              | activateObject                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/target/classes/org/apache/commons/pool2/PooledObjectFactory.class:0:0:0:0                            |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1033:17:1033:34                              | activateObject                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1028:21:1028:34                              | unlock                                      | file:///modules/java.base/java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock.class:0:0:0:0                                                                                          |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1040:13:1040:28                              | destroyObject0                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1039:21:1039:34                              | lock                                        | file:///modules/java.base/java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock.class:0:0:0:0                                                                                          |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1042:17:1042:41                              | destroyObject0                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1039:21:1039:34                              | destroyObject0                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/target/classes/org/apache/commons/pool2/PooledObjectFactory.class:0:0:0:0                            |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1044:17:1044:34                              | destroyObject0                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1039:21:1039:34                              | unlock                                      | file:///modules/java.base/java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock.class:0:0:0:0                                                                                          |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1051:13:1051:28                              | makeObject                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1050:32:1050:41                              | lock                                        | file:///modules/java.base/java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock.class:0:0:0:0                                                                                          |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1053:24:1053:43                              | makeObject                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1050:32:1050:41                              | makeObject                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/target/classes/org/apache/commons/pool2/PooledObjectFactory.class:0:0:0:0                            |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1055:17:1055:34                              | makeObject                                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1050:32:1050:41                              | unlock                                      | file:///modules/java.base/java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock.class:0:0:0:0                                                                                          |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1062:13:1062:28                              | passivateObject                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1061:21:1061:35                              | lock                                        | file:///modules/java.base/java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock.class:0:0:0:0                                                                                          |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1064:17:1064:42                              | passivateObject                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1061:21:1061:35                              | passivateObject                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/target/classes/org/apache/commons/pool2/PooledObjectFactory.class:0:0:0:0                            |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1066:17:1066:34                              | passivateObject                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1061:21:1061:35                              | unlock                                      | file:///modules/java.base/java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock.class:0:0:0:0                                                                                          |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1073:38:1073:56                              | toString                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1072:23:1072:30                              | StringBuilder                               | file:///modules/java.base/java/lang/StringBuilder.class:0:0:0:0                                                                                                                              |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1074:13:1074:58                              | toString                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1072:23:1072:30                              | append                                      | file:///modules/java.base/java/lang/StringBuilder.class:0:0:0:0                                                                                                                              |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1075:13:1075:50                              | toString                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1072:23:1072:30                              | append                                      | file:///modules/java.base/java/lang/StringBuilder.class:0:0:0:0                                                                                                                              |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1075:13:1075:34                              | toString                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1072:23:1072:30                              | append                                      | file:///modules/java.base/java/lang/StringBuilder.class:0:0:0:0                                                                                                                              |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1076:13:1076:26                              | toString                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1072:23:1072:30                              | append                                      | file:///modules/java.base/java/lang/StringBuilder.class:0:0:0:0                                                                                                                              |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1077:20:1077:32                              | toString                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1072:23:1072:30                              | toString                                    | file:///modules/java.base/java/lang/StringBuilder.class:0:0:0:0                                                                                                                              |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1083:13:1083:28                              | validateObject                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1082:24:1082:37                              | lock                                        | file:///modules/java.base/java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock.class:0:0:0:0                                                                                          |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1085:24:1085:48                              | validateObject                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1082:24:1082:37                              | validateObject                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/target/classes/org/apache/commons/pool2/PooledObjectFactory.class:0:0:0:0                            |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1087:17:1087:34                              | validateObject                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1082:24:1082:37                              | unlock                                      | file:///modules/java.base/java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock.class:0:0:0:0                                                                                          |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1097:45:1097:59                              | <clinit>                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1096:18:1096:28                              | Timer                                       | file:///modules/java.base/java/util/Timer.class:0:0:0:0                                                                                                                                      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1096:18:1096:28                              | TimerHolder                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1096:18:1096:28                              | Object                                      | file:///modules/java.base/java/lang/Object.class:0:0:0:0                                                                                                                                     |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1140:41:1140:66                              | checkMinIdle0                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1131:44:1131:56                              | HashMap<K,TimerTask>                        | file:///modules/java.base/java/util/HashMap.class:0:0:0:0                                                                                                                                    |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1140:55:1140:65                              | checkMinIdle0                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1131:44:1131:56                              | size                                        | file:///modules/java.base/java/util/Collection.class:0:0:0:0                                                                                                                                 |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1141:34:1141:48                              | checkMinIdle0                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1131:44:1131:56                              | iterator                                    | file:///modules/java.base/java/util/Collection.class:0:0:0:0                                                                                                                                 |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1138:19:1138:61                              | checkMinIdle0                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1131:44:1131:56                              | IllegalArgumentException                    | file:///modules/java.base/java/lang/IllegalArgumentException.class:0:0:0:0                                                                                                                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1142:16:1142:29                              | checkMinIdle0                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1131:44:1131:56                              | hasNext                                     | file:///modules/java.base/java/util/Iterator.class:0:0:0:0                                                                                                                                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1143:27:1143:37                              | checkMinIdle0                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1131:44:1131:56                              | next                                        | file:///modules/java.base/java/util/Iterator.class:0:0:0:0                                                                                                                                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1144:36:1144:87                              | checkMinIdle0                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1131:44:1131:56                              | checkMinIdle1                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1168:36:1168:48                                |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1145:13:1145:32                              | checkMinIdle0                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1131:44:1131:56                              | put                                         | file:///modules/java.base/java/util/Map.class:0:0:0:0                                                                                                                                        |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1183:32:1183:93                              | checkMinIdle1                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1168:36:1168:48                              | KeyedObjectPoolMinIdleTimerTask<K,V>        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/target/classes/org/apache/commons/pool2/PoolUtils$KeyedObjectPoolMinIdleTimerTask.class:0:0:0:0      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1175:19:1175:67                              | checkMinIdle1                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1168:36:1168:48                              | IllegalArgumentException                    | file:///modules/java.base/java/lang/IllegalArgumentException.class:0:0:0:0                                                                                                                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1178:19:1178:60                              | checkMinIdle1                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1168:36:1168:48                              | IllegalArgumentException                    | file:///modules/java.base/java/lang/IllegalArgumentException.class:0:0:0:0                                                                                                                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1181:19:1181:60                              | checkMinIdle1                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1168:36:1168:48                              | IllegalArgumentException                    | file:///modules/java.base/java/lang/IllegalArgumentException.class:0:0:0:0                                                                                                                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1184:9:1184:58                               | checkMinIdle1                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1168:36:1168:48                              | schedule                                    | file:///modules/java.base/java/util/Timer.class:0:0:0:0                                                                                                                                      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1184:9:1184:25                               | checkMinIdle1                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1168:36:1168:48                              | getMinIdleTimer                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1375:26:1375:40                                |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1213:32:1213:78                              | checkMinIdle2                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1204:33:1204:45                              | ObjectPoolMinIdleTimerTask<T>               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/target/classes/org/apache/commons/pool2/PoolUtils$ObjectPoolMinIdleTimerTask.class:0:0:0:0           |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1208:19:1208:67                              | checkMinIdle2                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1204:33:1204:45                              | IllegalArgumentException                    | file:///modules/java.base/java/lang/IllegalArgumentException.class:0:0:0:0                                                                                                                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1211:19:1211:60                              | checkMinIdle2                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1204:33:1204:45                              | IllegalArgumentException                    | file:///modules/java.base/java/lang/IllegalArgumentException.class:0:0:0:0                                                                                                                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1214:9:1214:58                               | checkMinIdle2                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1204:33:1204:45                              | schedule                                    | file:///modules/java.base/java/util/Timer.class:0:0:0:0                                                                                                                                      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1214:9:1214:25                               | checkMinIdle2                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1204:33:1204:45                              | getMinIdleTimer                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1375:26:1375:40                                |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1252:16:1252:42                              | erodingPool0                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1251:48:1251:59                              | erodingPool1                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1277:48:1277:59                                |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1279:16:1279:53                              | erodingPool1                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1277:48:1277:59                              | erodingPool2                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1310:48:1310:59                                |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1313:19:1313:67                              | erodingPool2                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1310:48:1310:59                              | IllegalArgumentException                    | file:///modules/java.base/java/lang/IllegalArgumentException.class:0:0:0:0                                                                                                                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1316:19:1316:67                              | erodingPool2                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1310:48:1310:59                              | IllegalArgumentException                    | file:///modules/java.base/java/lang/IllegalArgumentException.class:0:0:0:0                                                                                                                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1319:20:1319:72                              | erodingPool2                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1310:48:1310:59                              | ErodingPerKeyKeyedObjectPool<K,V>           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/target/classes/org/apache/commons/pool2/PoolUtils$ErodingPerKeyKeyedObjectPool.class:0:0:0:0         |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1321:16:1321:80                              | erodingPool2                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1310:48:1310:59                              | ErodingKeyedObjectPool0                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:136:46:136:68                                  |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1337:16:1337:37                              | erodingPool3                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1336:37:1336:48                              | erodingPool4                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1360:37:1360:48                                |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1362:19:1362:61                              | erodingPool4                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1360:37:1360:48                              | IllegalArgumentException                    | file:///modules/java.base/java/lang/IllegalArgumentException.class:0:0:0:0                                                                                                                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1365:19:1365:67                              | erodingPool4                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1360:37:1360:48                              | IllegalArgumentException                    | file:///modules/java.base/java/lang/IllegalArgumentException.class:0:0:0:0                                                                                                                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1367:16:1367:52                              | erodingPool4                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/PoolUtils.java:1360:37:1360:48                              | ErodingObjectPool<T>                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/target/classes/org/apache/commons/pool2/PoolUtils$ErodingObjectPool.class:0:0:0:0                    |
