| CreditCardType | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:184:22:184:35          | matches   | matches(String)   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:196:17:196:23          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:196:17:196:23          |
| UrlValidator                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:77:14:77:25                                      | <obinit>                                       | <obinit>()                                                                                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:77:14:77:25                                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:77:14:77:25                                      |
| UrlValidator                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:77:14:77:25                                      | <clinit>                                       | <clinit>()                                                                                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:77:14:77:25                                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/UrlValidator.java:77:14:77:25                                      |
| ValidatorResources                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResources.java:37:14:37:31                                | buildKey                                       | buildKey(FormSet)                                                                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResources.java:214:22:214:29                              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResources.java:214:43:216:5                               |
| ValidatorResources                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResources.java:37:14:37:31                                | ValidatorResources                             | ValidatorResources()                                                                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResources.java:92:12:92:29                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResources.java:92:33:94:5                                 |
| ValidatorResources                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResources.java:37:14:37:31                                | getLog                                         | getLog()                                                                                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResources.java:325:17:325:22                              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResources.java:325:26:330:5                               |
| ValidatorResources                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResources.java:37:14:37:31                                | buildLocale                                    | buildLocale(String, String, String)                                                          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResources.java:219:20:219:30                              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResources.java:219:77:224:5                               |
| ValidatorResources                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResources.java:37:14:37:31                                | <obinit>                                       | <obinit>()                                                                                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResources.java:37:14:37:31                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResources.java:37:14:37:31                                |
| ValidatorResources                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResources.java:37:14:37:31                                | <clinit>                                       | <clinit>()                                                                                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResources.java:37:14:37:31                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResources.java:37:14:37:31                                |
| ValidatorException                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorException.java:25:14:25:31                                | ValidatorException                             | ValidatorException(String)                                                                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorException.java:39:12:39:29                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorException.java:39:47:41:5                                 |
| ValidatorException                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorException.java:25:14:25:31                                | ValidatorException                             | ValidatorException()                                                                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorException.java:30:12:30:29                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorException.java:30:33:32:5                                 |
| ValidatorException                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorException.java:25:14:25:31                                | <clinit>                                       | <clinit>()                                                                                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorException.java:25:14:25:31                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorException.java:25:14:25:31                                |
| ResultStatus                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:139:28:139:39                                 | setResult                                      | setResult(Object)                                                                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:204:21:204:29                                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:204:46:206:9                                  |
| ResultStatus                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:139:28:139:39                                 | getResult                                      | getResult()                                                                                  | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:194:23:194:31                                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:194:35:196:9                                  |
| ResultStatus                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:139:28:139:39                                 | setValid                                       | setValid(boolean)                                                                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:184:21:184:28                                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:184:45:186:9                                  |
| ResultStatus                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:139:28:139:39                                 | isValid                                        | isValid()                                                                                    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:175:24:175:30                                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:175:34:177:9                                  |
| ResultStatus                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:139:28:139:39                                 | ResultStatus                                   | ResultStatus(ValidatorResult, boolean, Object)                                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:166:16:166:27                                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:166:84:168:9                                  |
| ResultStatus                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:139:28:139:39                                 | ResultStatus                                   | ResultStatus(boolean, Object)                                                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:152:16:152:27                                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:152:59:155:9                                  |
| ResultStatus                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:139:28:139:39                                 | <obinit>                                       | <obinit>()                                                                                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:139:28:139:39                                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:139:28:139:39                                 |
| ResultStatus                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:139:28:139:39                                 | <clinit>                                       | <clinit>()                                                                                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:139:28:139:39                                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:139:28:139:39                                 |
| ValidatorResult                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:30:14:30:28                                   | getField                                       | getField()                                                                                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:134:18:134:25                                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:134:29:136:5                                  |
| ValidatorResult                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:30:14:30:28                                   | getActionMap                                   | getActionMap()                                                                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:125:38:125:49                                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:125:53:127:5                                  |
| ValidatorResult                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:30:14:30:28                                   | getActions                                     | getActions()                                                                                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:113:29:113:38                                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:113:42:115:5                                  |
| ValidatorResult                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:30:14:30:28                                   | getResult                                      | getResult(String)                                                                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:103:19:103:27                                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:103:51:106:5                                  |
| ValidatorResult                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:30:14:30:28                                   | isValid                                        | isValid(String)                                                                              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:92:20:92:26                                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:92:50:95:5                                    |
| ValidatorResult                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:30:14:30:28                                   | containsAction                                 | containsAction(String)                                                                       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:82:20:82:33                                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:82:57:84:5                                    |
| ValidatorResult                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:30:14:30:28                                   | add                                            | add(String, boolean, Object)                                                                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:72:17:72:19                                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:72:73:74:5                                    |
| ValidatorResult                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:30:14:30:28                                   | add                                            | add(String, boolean)                                                                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:61:17:61:19                                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:61:59:63:5                                    |
| ValidatorResult                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:30:14:30:28                                   | ValidatorResult                                | ValidatorResult(Field)                                                                       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:51:12:51:26                                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:51:41:53:5                                    |
| ValidatorResult                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:30:14:30:28                                   | <obinit>                                       | <obinit>()                                                                                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:30:14:30:28                                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:30:14:30:28                                   |
| ValidatorResult                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:30:14:30:28                                   | <clinit>                                       | <clinit>()                                                                                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:30:14:30:28                                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/ValidatorResult.java:30:14:30:28                                   |
| ValueBean                                  | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/test/java/org/apache/commons/validator/ValueBean.java:24:14:24:22                                         | setValue                                       | setValue(String)                                                                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/test/java/org/apache/commons/validator/ValueBean.java:34:17:34:24                                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/test/java/org/apache/commons/validator/ValueBean.java:34:40:36:5                                          |
| ValueBean                                  | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/test/java/org/apache/commons/validator/ValueBean.java:24:14:24:22                                         | getValue                                       | getValue()                                                                                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/test/java/org/apache/commons/validator/ValueBean.java:29:19:29:26                                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/test/java/org/apache/commons/validator/ValueBean.java:29:30:31:5                                          |
| ValueBean                                  | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/test/java/org/apache/commons/validator/ValueBean.java:24:14:24:22                                         | ValueBean                                      | ValueBean()                                                                                  | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/test/java/org/apache/commons/validator/ValueBean.java:24:14:24:22                                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/test/java/org/apache/commons/validator/ValueBean.java:24:14:24:22                                         |
| ValueBean                                  | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/test/java/org/apache/commons/validator/ValueBean.java:24:14:24:22                                         | <obinit>                                       | <obinit>()                                                                                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/test/java/org/apache/commons/validator/ValueBean.java:24:14:24:22                                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/test/java/org/apache/commons/validator/ValueBean.java:24:14:24:22                                         |
| Var                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:27:14:27:16                                               | toString                                       | toString()                                                                                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:191:19:191:26                                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:191:30:209:5                                              |
| Var                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:27:14:27:16                                               | clone                                          | clone()                                                                                      | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:176:19:176:23                                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:176:27:183:5                                              |
| Var                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:27:14:27:16                                               | setJsType                                      | setJsType(String)                                                                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:166:17:166:25                                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:166:42:168:5                                              |
| Var                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:27:14:27:16                                               | getJsType                                      | getJsType()                                                                                  | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:157:19:157:27                                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:157:31:159:5                                              |
| Var                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:27:14:27:16                                               | setBundle                                      | setBundle(String)                                                                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:148:17:148:25                                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:148:42:150:5                                              |
| Var                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:27:14:27:16                                               | getBundle                                      | getBundle()                                                                                  | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:138:19:138:27                                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:138:31:140:5                                              |
| Var                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:27:14:27:16                                               | setResource                                    | setResource(boolean)                                                                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:128:17:128:27                                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:128:47:130:5                                              |
| Var                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:27:14:27:16                                               | isResource                                     | isResource()                                                                                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:118:20:118:29                                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:118:33:120:5                                              |
| Var                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:27:14:27:16                                               | setValue                                       | setValue(String)                                                                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:108:17:108:24                                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:108:40:110:5                                              |
| Var                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:27:14:27:16                                               | getValue                                       | getValue()                                                                                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:99:19:99:26                                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:99:30:101:5                                               |
| Var                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:27:14:27:16                                               | setName                                        | setName(String)                                                                              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:90:17:90:23                                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:90:38:92:5                                                |
| Var                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:27:14:27:16                                               | getName                                        | getName()                                                                                    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:81:19:81:25                                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:81:29:83:5                                                |
| Var                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:27:14:27:16                                               | Var                                            | Var(String, String, String)                                                                  | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:70:12:70:14                                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:70:58:74:5                                                |
| Var                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:27:14:27:16                                               | Var                                            | Var()                                                                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:59:12:59:14                                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:59:18:61:5                                                |
| Var                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:27:14:27:16                                               | <obinit>                                       | <obinit>()                                                                                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:27:14:27:16                                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:27:14:27:16                                               |
| Var                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:27:14:27:16                                               | <clinit>                                       | <clinit>()                                                                                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:27:14:27:16                                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Var.java:27:14:27:16                                               |
| AbstractCalendarValidator                  | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/routines/AbstractCalendarValidator.java:35:23:35:47                | compareQuarters                                | compareQuarters(Calendar, Calendar, int)                                                     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/routines/AbstractCalendarValidator.java:346:19:346:33              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/routines/AbstractCalendarValidator.java:346:94:356:5               |
| AbstractCalendarValidator                  | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/routines/AbstractCalendarValidator.java:35:23:35:47                | compareTime                                    | compareTime(Calendar, Calendar, int)                                                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/routines/AbstractCalendarValidator.java:310:19:310:29              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/routines/AbstractCalendarValidator.java:310:76:334:5               |
| AbstractCalendarValidator                  | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/routines/AbstractCalendarValidator.java:35:23:35:47                | compare                                        | compare(Calendar, Calendar, int)                                                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/routines/AbstractCalendarValidator.java:262:19:262:25              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/routines/AbstractCalendarValidator.java:262:72:297:5               |
