| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:65:16:65:33                               | parse1                   |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:65:23:65:26                                | parse1(String, Map<String,?>)                                                | parse0                                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:64:31:64:36                                | CommandLine                                            | parse1                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:76:31:76:36                    | CommandLine                  |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:82:9:82:92                            | assertArrayEquals        |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:82:27:82:73                            | assertArrayEquals(Object[], Object[])                                        | testAddArgumentsWithQuotesAndSpaces           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:78:17:78:51                            | CommandLineTest                                        | assertArrayEquals        | file:///home/ali/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.1/junit-jupiter-api-5.10.1.jar/org/junit/jupiter/api/Assertions.class:0:0:0:0                        | Assertions                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:82:9:82:92                            | assertArrayEquals        |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:82:76:82:91                            | assertArrayEquals(Object[], Object[])                                        | testAddArgumentsWithQuotesAndSpaces           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:78:17:78:51                            | CommandLineTest                                        | assertArrayEquals        | file:///home/ali/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.1/junit-jupiter-api-5.10.1.jar/org/junit/jupiter/api/Assertions.class:0:0:0:0                        | Assertions                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:88:9:88:87                            | assertThrows             |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:88:22:88:51                            | assertThrows(Class<T>, Executable)                                           | testAddArgumentWithBothQuotes                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:86:17:86:45                            | CommandLineTest                                        | assertThrows             | file:///home/ali/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.1/junit-jupiter-api-5.10.1.jar/org/junit/jupiter/api/Assertions.class:0:0:0:0                        | Assertions                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:88:9:88:87                            | assertThrows             |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:88:54:88:86                            | assertThrows(Class<T>, Executable)                                           | testAddArgumentWithBothQuotes                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:86:17:86:45                            | CommandLineTest                                        | assertThrows             | file:///home/ali/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.1/junit-jupiter-api-5.10.1.jar/org/junit/jupiter/api/Assertions.class:0:0:0:0                        | Assertions                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:88:60:88:86                           | addArgument0             |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:88:78:88:85                            | addArgument0(String)                                                         | execute                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:88:54:88:86                            | new Executable(...) { ... }                            | addArgument0             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:239:24:239:35                  | CommandLine                  |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:94:9:94:32                            | addArgument0             |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:94:27:94:31                            | addArgument0(String)                                                         | testAddArgumentWithQuote                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:92:17:92:40                            | CommandLineTest                                        | addArgument0             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:239:24:239:35                  | CommandLine                  |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:95:9:95:34                            | addArgument0             |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:95:27:95:33                            | addArgument0(String)                                                         | testAddArgumentWithQuote                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:92:17:92:40                            | CommandLineTest                                        | addArgument0             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:239:24:239:35                  | CommandLine                  |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:96:9:96:61                            | assertEquals             |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:96:22:96:43                            | assertEquals(Object, Object)                                                 | testAddArgumentWithQuote                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:92:17:92:40                            | CommandLineTest                                        | assertEquals             | file:///home/ali/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.1/junit-jupiter-api-5.10.1.jar/org/junit/jupiter/api/Assertions.class:0:0:0:0                        | Assertions                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:96:9:96:61                            | assertEquals             |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:96:46:96:60                            | assertEquals(Object, Object)                                                 | testAddArgumentWithQuote                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:92:17:92:40                            | CommandLineTest                                        | assertEquals             | file:///home/ali/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.1/junit-jupiter-api-5.10.1.jar/org/junit/jupiter/api/Assertions.class:0:0:0:0                        | Assertions                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:97:9:97:86                            | assertArrayEquals        |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:97:27:97:67                            | assertArrayEquals(Object[], Object[])                                        | testAddArgumentWithQuote                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:92:17:92:40                            | CommandLineTest                                        | assertArrayEquals        | file:///home/ali/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.1/junit-jupiter-api-5.10.1.jar/org/junit/jupiter/api/Assertions.class:0:0:0:0                        | Assertions                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:97:9:97:86                            | assertArrayEquals        |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:97:70:97:85                            | assertArrayEquals(Object[], Object[])                                        | testAddArgumentWithQuote                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:92:17:92:40                            | CommandLineTest                                        | assertArrayEquals        | file:///home/ali/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.1/junit-jupiter-api-5.10.1.jar/org/junit/jupiter/api/Assertions.class:0:0:0:0                        | Assertions                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:103:9:103:36                          | addArgument0             |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:103:27:103:35                          | addArgument0(String)                                                         | testAddArgumentWithQuotesAround               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:101:17:101:47                          | CommandLineTest                                        | addArgument0             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:239:24:239:35                  | CommandLine                  |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:104:9:104:36                          | addArgument0             |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:104:27:104:35                          | addArgument0(String)                                                         | testAddArgumentWithQuotesAround               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:101:17:101:47                          | CommandLineTest                                        | addArgument0             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:239:24:239:35                  | CommandLine                  |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:105:9:105:37                          | addArgument0             |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:105:27:105:36                          | addArgument0(String)                                                         | testAddArgumentWithQuotesAround               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:101:17:101:47                          | CommandLineTest                                        | addArgument0             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:239:24:239:35                  | CommandLine                  |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:106:9:106:67                          | assertEquals             |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:106:22:106:49                          | assertEquals(Object, Object)                                                 | testAddArgumentWithQuotesAround               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:101:17:101:47                          | CommandLineTest                                        | assertEquals             | file:///home/ali/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.1/junit-jupiter-api-5.10.1.jar/org/junit/jupiter/api/Assertions.class:0:0:0:0                        | Assertions                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:106:9:106:67                          | assertEquals             |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:106:52:106:66                          | assertEquals(Object, Object)                                                 | testAddArgumentWithQuotesAround               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:101:17:101:47                          | CommandLineTest                                        | assertEquals             | file:///home/ali/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.1/junit-jupiter-api-5.10.1.jar/org/junit/jupiter/api/Assertions.class:0:0:0:0                        | Assertions                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:107:9:107:94                          | assertArrayEquals        |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:107:27:107:75                          | assertArrayEquals(Object[], Object[])                                        | testAddArgumentWithQuotesAround               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:101:17:101:47                          | CommandLineTest                                        | assertArrayEquals        | file:///home/ali/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.1/junit-jupiter-api-5.10.1.jar/org/junit/jupiter/api/Assertions.class:0:0:0:0                        | Assertions                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:107:9:107:94                          | assertArrayEquals        |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:107:78:107:93                          | assertArrayEquals(Object[], Object[])                                        | testAddArgumentWithQuotesAround               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:101:17:101:47                          | CommandLineTest                                        | assertArrayEquals        | file:///home/ali/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.1/junit-jupiter-api-5.10.1.jar/org/junit/jupiter/api/Assertions.class:0:0:0:0                        | Assertions                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:114:9:114:32                          | addArgument0             |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:114:27:114:31                          | addArgument0(String)                                                         | testAddArgumentWithSingleQuote                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:111:17:111:46                          | CommandLineTest                                        | addArgument0             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:239:24:239:35                  | CommandLine                  |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:115:9:115:33                          | addArgument0             |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:115:27:115:32                          | addArgument0(String)                                                         | testAddArgumentWithSingleQuote                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:111:17:111:46                          | CommandLineTest                                        | addArgument0             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:239:24:239:35                  | CommandLine                  |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:116:9:116:62                          | assertEquals             |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:116:22:116:44                          | assertEquals(Object, Object)                                                 | testAddArgumentWithSingleQuote                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:111:17:111:46                          | CommandLineTest                                        | assertEquals             | file:///home/ali/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.1/junit-jupiter-api-5.10.1.jar/org/junit/jupiter/api/Assertions.class:0:0:0:0                        | Assertions                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:116:9:116:62                          | assertEquals             |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:116:47:116:61                          | assertEquals(Object, Object)                                                 | testAddArgumentWithSingleQuote                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:111:17:111:46                          | CommandLineTest                                        | assertEquals             | file:///home/ali/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.1/junit-jupiter-api-5.10.1.jar/org/junit/jupiter/api/Assertions.class:0:0:0:0                        | Assertions                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:117:9:117:88                          | assertArrayEquals        |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:117:27:117:69                          | assertArrayEquals(Object[], Object[])                                        | testAddArgumentWithSingleQuote                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:111:17:111:46                          | CommandLineTest                                        | assertArrayEquals        | file:///home/ali/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.1/junit-jupiter-api-5.10.1.jar/org/junit/jupiter/api/Assertions.class:0:0:0:0                        | Assertions                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:117:9:117:88                          | assertArrayEquals        |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:117:72:117:87                          | assertArrayEquals(Object[], Object[])                                        | testAddArgumentWithSingleQuote                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:111:17:111:46                          | CommandLineTest                                        | assertArrayEquals        | file:///home/ali/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.1/junit-jupiter-api-5.10.1.jar/org/junit/jupiter/api/Assertions.class:0:0:0:0                        | Assertions                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:123:9:123:32                          | addArgument0             |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:123:27:123:31                          | addArgument0(String)                                                         | testAddArgumentWithSpace                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:121:17:121:40                          | CommandLineTest                                        | addArgument0             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:239:24:239:35                  | CommandLine                  |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:124:9:124:33                          | addArgument0             |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:124:27:124:32                          | addArgument0(String)                                                         | testAddArgumentWithSpace                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:121:17:121:40                          | CommandLineTest                                        | addArgument0             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:239:24:239:35                  | CommandLine                  |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:125:9:125:62                          | assertEquals             |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:125:22:125:44                          | assertEquals(Object, Object)                                                 | testAddArgumentWithSpace                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:121:17:121:40                          | CommandLineTest                                        | assertEquals             | file:///home/ali/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.1/junit-jupiter-api-5.10.1.jar/org/junit/jupiter/api/Assertions.class:0:0:0:0                        | Assertions                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:125:9:125:62                          | assertEquals             |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:125:47:125:61                          | assertEquals(Object, Object)                                                 | testAddArgumentWithSpace                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:121:17:121:40                          | CommandLineTest                                        | assertEquals             | file:///home/ali/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.1/junit-jupiter-api-5.10.1.jar/org/junit/jupiter/api/Assertions.class:0:0:0:0                        | Assertions                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:126:9:126:87                          | assertArrayEquals        |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:126:27:126:68                          | assertArrayEquals(Object[], Object[])                                        | testAddArgumentWithSpace                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:121:17:121:40                          | CommandLineTest                                        | assertArrayEquals        | file:///home/ali/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.1/junit-jupiter-api-5.10.1.jar/org/junit/jupiter/api/Assertions.class:0:0:0:0                        | Assertions                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:126:9:126:87                          | assertArrayEquals        |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:126:71:126:86                          | assertArrayEquals(Object[], Object[])                                        | testAddArgumentWithSpace                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:121:17:121:40                          | CommandLineTest                                        | assertArrayEquals        | file:///home/ali/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.1/junit-jupiter-api-5.10.1.jar/org/junit/jupiter/api/Assertions.class:0:0:0:0                        | Assertions                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:133:9:133:31                          | addArgument0             |    1 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:133:27:133:30                          | addArgument0(String)                                                         | testAddNullArgument                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:130:17:130:35                          | CommandLineTest                                        | addArgument0             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java:239:24:239:35                  | CommandLine                  |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:134:9:134:47                          | assertEquals             |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:134:22:134:29                          | assertEquals(Object, Object)                                                 | testAddNullArgument                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:130:17:130:35                          | CommandLineTest                                        | assertEquals             | file:///home/ali/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.1/junit-jupiter-api-5.10.1.jar/org/junit/jupiter/api/Assertions.class:0:0:0:0                        | Assertions                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:134:9:134:47                          | assertEquals             |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:134:32:134:46                          | assertEquals(Object, Object)                                                 | testAddNullArgument                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:130:17:130:35                          | CommandLineTest                                        | assertEquals             | file:///home/ali/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.1/junit-jupiter-api-5.10.1.jar/org/junit/jupiter/api/Assertions.class:0:0:0:0                        | Assertions                   |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:135:9:135:68                          | assertArrayEquals        |    2 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:135:27:135:49                          | assertArrayEquals(Object[], Object[])                                        | testAddNullArgument                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-exec/src/test/java/org/apache/commons/exec/CommandLineTest.java:130:17:130:35                          | CommandLineTest                                        | assertArrayEquals        | file:///home/ali/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.1/junit-jupiter-api-5.10.1.jar/org/junit/jupiter/api/Assertions.class:0:0:0:0                        | Assertions                   |
