| BinaryEncoderAbstractTest            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/BinaryEncoderAbstractTest.java:25:23:25:47                   | testEncodeNull                                                                           | public       | void                       | V                                                              | testEncodeNull()                                                                           | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/BinaryEncoderAbstractTest.java:36:17:36:30                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/BinaryEncoderAbstractTest.java:36:51:43:5                    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_Forenames_SEAN_PETE_NoMatchExpected                                          | final        | void                       | V                                                              | testCompare_Forenames_SEAN_PETE_NoMatchExpected()                                          | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:509:23:509:69   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:509:73:511:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_Forenames_SEAN_JOHN_MatchExpected                                            | public       | void                       | V                                                              | testCompare_Forenames_SEAN_JOHN_MatchExpected()                                            | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:504:23:504:67   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:504:71:506:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_Forenames_SEAN_JOHN_MatchExpected                                            | final        | void                       | V                                                              | testCompare_Forenames_SEAN_JOHN_MatchExpected()                                            | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:504:23:504:67   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:504:71:506:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_Surnames_MURPHY_LYNCH_NoMatchExpected                                        | public       | void                       | V                                                              | testCompare_Surnames_MURPHY_LYNCH_NoMatchExpected()                                        | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:499:23:499:71   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:499:75:501:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_Surnames_MURPHY_LYNCH_NoMatchExpected                                        | final        | void                       | V                                                              | testCompare_Surnames_MURPHY_LYNCH_NoMatchExpected()                                        | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:499:23:499:71   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:499:75:501:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_SurnameCornerCase_Nulls_NoMatch                                              | public       | void                       | V                                                              | testCompare_SurnameCornerCase_Nulls_NoMatch()                                              | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:494:23:494:65   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:494:69:496:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_SurnameCornerCase_Nulls_NoMatch                                              | final        | void                       | V                                                              | testCompare_SurnameCornerCase_Nulls_NoMatch()                                              | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:494:23:494:65   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:494:69:496:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_SurnamesCornerCase_MURPHY_NoSpace_NoMatch                                    | public       | void                       | V                                                              | testCompare_SurnamesCornerCase_MURPHY_NoSpace_NoMatch()                                    | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:489:23:489:75   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:489:79:491:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_SurnamesCornerCase_MURPHY_NoSpace_NoMatch                                    | final        | void                       | V                                                              | testCompare_SurnamesCornerCase_MURPHY_NoSpace_NoMatch()                                    | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:489:23:489:75   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:489:79:491:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_SurnamesCornerCase_MURPHY_Space_NoMatch                                      | public       | void                       | V                                                              | testCompare_SurnamesCornerCase_MURPHY_Space_NoMatch()                                      | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:484:23:484:73   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:484:77:486:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_SurnamesCornerCase_MURPHY_Space_NoMatch                                      | final        | void                       | V                                                              | testCompare_SurnamesCornerCase_MURPHY_Space_NoMatch()                                      | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:484:23:484:73   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:484:77:486:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_MCGOWAN_MCGEOGHEGAN_SuccessfullyMatched                                      | public       | void                       | V                                                              | testCompare_MCGOWAN_MCGEOGHEGAN_SuccessfullyMatched()                                      | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:479:23:479:73   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:479:77:481:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_MCGOWAN_MCGEOGHEGAN_SuccessfullyMatched                                      | final        | void                       | V                                                              | testCompare_MCGOWAN_MCGEOGHEGAN_SuccessfullyMatched()                                      | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:479:23:479:73   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:479:77:481:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_PETERSON_PETERS_SuccessfullyMatched                                          | public       | void                       | V                                                              | testCompare_PETERSON_PETERS_SuccessfullyMatched()                                          | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:474:23:474:69   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:474:73:476:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_PETERSON_PETERS_SuccessfullyMatched                                          | final        | void                       | V                                                              | testCompare_PETERSON_PETERS_SuccessfullyMatched()                                          | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:474:23:474:69   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:474:73:476:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_Surname_PRZEMYSL_PSHEMESHIL_SuccessfullyMatched                              | public       | void                       | V                                                              | testCompare_Surname_PRZEMYSL_PSHEMESHIL_SuccessfullyMatched()                              | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:469:23:469:81   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:469:85:471:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_Surname_PRZEMYSL_PSHEMESHIL_SuccessfullyMatched                              | final        | void                       | V                                                              | testCompare_Surname_PRZEMYSL_PSHEMESHIL_SuccessfullyMatched()                              | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:469:23:469:81   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:469:85:471:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_Surname_ROSOCHOWACIEC_ROSOKHOVATSETS_SuccessfullyMatched                     | public       | void                       | V                                                              | testCompare_Surname_ROSOCHOWACIEC_ROSOKHOVATSETS_SuccessfullyMatched()                     | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:462:23:462:90   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:462:94:466:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_Surname_ROSOCHOWACIEC_ROSOKHOVATSETS_SuccessfullyMatched                     | final        | void                       | V                                                              | testCompare_Surname_ROSOCHOWACIEC_ROSOKHOVATSETS_SuccessfullyMatched()                     | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:462:23:462:90   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:462:94:466:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_Surname_SZLAMAWICZ_SHLAMOVITZ_SuccessfullyMatched                            | public       | void                       | V                                                              | testCompare_Surname_SZLAMAWICZ_SHLAMOVITZ_SuccessfullyMatched()                            | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:457:23:457:83   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:457:87:459:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_Surname_SZLAMAWICZ_SHLAMOVITZ_SuccessfullyMatched                            | final        | void                       | V                                                              | testCompare_Surname_SZLAMAWICZ_SHLAMOVITZ_SuccessfullyMatched()                            | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:457:23:457:83   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:457:87:459:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_Surname_LEWINSKY_LEVINSKI_SuccessfullyMatched                                | public       | void                       | V                                                              | testCompare_Surname_LEWINSKY_LEVINSKI_SuccessfullyMatched()                                | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:452:23:452:79   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:452:83:454:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_Surname_LEWINSKY_LEVINSKI_SuccessfullyMatched                                | final        | void                       | V                                                              | testCompare_Surname_LEWINSKY_LEVINSKI_SuccessfullyMatched()                                | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:452:23:452:79   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:452:83:454:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_Surname_LIPSHITZ_LIPPSZYC_SuccessfullyMatched                                | public       | void                       | V                                                              | testCompare_Surname_LIPSHITZ_LIPPSZYC_SuccessfullyMatched()                                | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:447:23:447:79   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:447:83:449:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_Surname_LIPSHITZ_LIPPSZYC_SuccessfullyMatched                                | final        | void                       | V                                                              | testCompare_Surname_LIPSHITZ_LIPPSZYC_SuccessfullyMatched()                                | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:447:23:447:79   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:447:83:449:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_Surname_MOSKOWITZ_MOSKOVITZ_SuccessfullyMatched                              | public       | void                       | V                                                              | testCompare_Surname_MOSKOWITZ_MOSKOVITZ_SuccessfullyMatched()                              | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:442:23:442:81   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:442:85:444:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_Surname_MOSKOWITZ_MOSKOVITZ_SuccessfullyMatched                              | final        | void                       | V                                                              | testCompare_Surname_MOSKOWITZ_MOSKOVITZ_SuccessfullyMatched()                              | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:442:23:442:81   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:442:85:444:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_Surname_AUERBACH_UHRBACH_SuccessfullyMatched                                 | public       | void                       | V                                                              | testCompare_Surname_AUERBACH_UHRBACH_SuccessfullyMatched()                                 | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:437:23:437:78   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:437:82:439:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_Surname_AUERBACH_UHRBACH_SuccessfullyMatched                                 | final        | void                       | V                                                              | testCompare_Surname_AUERBACH_UHRBACH_SuccessfullyMatched()                                 | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:437:23:437:78   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:437:82:439:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_Surname_HAILEY_HALLEY_SuccessfullyMatched                                    | public       | void                       | V                                                              | testCompare_Surname_HAILEY_HALLEY_SuccessfullyMatched()                                    | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:432:23:432:75   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:432:79:434:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_Surname_HAILEY_HALLEY_SuccessfullyMatched                                    | final        | void                       | V                                                              | testCompare_Surname_HAILEY_HALLEY_SuccessfullyMatched()                                    | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:432:23:432:75   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:432:79:434:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_Surname_COOPERFLYNN_SUPERLYN_SuccessfullyMatched                             | public       | void                       | V                                                              | testCompare_Surname_COOPERFLYNN_SUPERLYN_SuccessfullyMatched()                             | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:427:23:427:82   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:427:86:429:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_Surname_COOPERFLYNN_SUPERLYN_SuccessfullyMatched                             | final        | void                       | V                                                              | testCompare_Surname_COOPERFLYNN_SUPERLYN_SuccessfullyMatched()                             | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:427:23:427:82   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:427:86:429:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_LongSurnames_OMUIRCHEARTAIGH_OMIREADHAIGH_SuccessfulMatch                    | public       | void                       | V                                                              | testCompare_LongSurnames_OMUIRCHEARTAIGH_OMIREADHAIGH_SuccessfulMatch()                    | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:422:23:422:91   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:422:95:424:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_LongSurnames_OMUIRCHEARTAIGH_OMIREADHAIGH_SuccessfulMatch                    | final        | void                       | V                                                              | testCompare_LongSurnames_OMUIRCHEARTAIGH_OMIREADHAIGH_SuccessfulMatch()                    | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:422:23:422:91   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:422:95:424:5    |
| MatchRatingApproachEncoderTest       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:36:14:36:43     | testCompare_LongSurnames_MORIARTY_OMUIRCHEARTAIGH_DoesNotSuccessfulMatch                 | public       | void                       | V                                                              | testCompare_LongSurnames_MORIARTY_OMUIRCHEARTAIGH_DoesNotSuccessfulMatch()                 | Test             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:417:23:417:94   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/test/java/org/apache/commons/codec/language/MatchRatingApproachEncoderTest.java:417:98:419:5    |
